description,part_numbers,times_billed,qty_total,sell_min,sell_max,sell_last,last_date,example
SEAL OFF,,2,3.0,28.67,38.36,38.36,2026-07-06,Seal Off
3/4 UNIONS,,2,5.0,44.74,44.75,44.74,2026-04-29,"3/4"" Unions"
3/4 X 12 NIPPLE,,2,4.0,9.18,20.7,20.7,2026-09-10,"3/4"" X 12"" Nipple"
3/4 SHOULDER,,2,5.0,3.36,3.67,3.36,2026-09-02,"3/4"" Shoulder"
3/4 X 10 NIPPLE,,2,3.0,8.72,8.72,8.72,2026-09-10,"3/4"" X 10"" Nipple"
SEAL OFFS,,2,4.0,28.67,28.67,28.67,2026-04-29,Seal Offs
3/4 X SHOULDER,,2,3.0,2.22,2.22,2.22,2026-04-29,"3/4"" X Shoulder"
GUP,,2,2.0,123.69,123.69,123.69,2026-06-09,GUP
PULL STRING,,2,100.0,0.05,25.97,0.05,2026-04-29,Pull String
3/4 X 8 NIPPLE,,2,2.0,6.9,10.42,6.9,2026-04-29,"3/4"" X 8"" Nipple"
3/4 X 1/2 BUSHING,,2,4.0,1.9,2.19,1.9,2026-09-03,"3/4"" X 1/2"" Bushing"
12 AWG WIRE,,2,1540.0,0.42,0.42,0.42,2026-08-07,12 AWG Wire
ELECTRICAL MATERIAL,,2,2.0,173.52,431.74,431.74,2026-05-22,Electrical material
FAST FUSE,,2,2.0,94.01,124.8,94.01,2026-05-06,Fast Fuse
CONDUIT CLEAR VINAGER 45,,2,3.0,18.92,18.92,18.92,2026-06-23,Conduit clear - vinager 45%
VR WIRE,,2,380.0,1.1,1.1,1.1,2026-06-02,VR wire
VINEGAR,,2,5.0,17.94,20.32,17.94,2026-09-02,Vinegar
2 90 S,,2,4.0,9.4,15.65,9.4,2026-06-16,"2"" 90's"
2 TEE,,2,2.0,24.14,24.14,24.14,2026-06-25,"2"" Tee"
UDC SENSOR GUIDE,,2,2.0,119.98,119.98,119.98,2026-07-22,UDC sensor guide
1 1/2 GALV UNION,,2,2.0,24.31,26.0,24.31,2026-07-27,"1-1/2"" GALV Union"
